,cylinderRate
0,-36.28262522172481
1,252.25359581096308
2,-9.987863278420155
3,75.65875429849592
4,2.6264741934332196
5,40.448884456607445
6,4.878733461308234
7,21.2105348096657
8,7.385228892735249
9,24.834810587847503
10,3.0547110621237628
11,-84.70528777781695
12,-1.5107736759597947
13,172.64173025607414
14,-18.41377770909528
15,85.52878038514153
16,-16.875014179730925
17,55.226216144909344
18,-13.719669440862736
19,44.32534143052683
20,-20.72238290341635
21,38.04382673537724
22,-18.677894591973438
23,-89.392156499803
24,1.288762588493369
25,153.1439962591982
26,-15.525957612288547
27,74.05109909080446
28,15.54554892120106
29,9.058445831878817
30,10.85364061876876
31,37.76839474381793
32,-10.113247481480464
33,49.65521195672948
34,-10.45073854508024
35,-76.19289383537223
36,-12.259935064157093
37,124.33705655842915
38,-4.305165833794913
39,88.7468356040657
40,-8.166972204998247
41,41.91311112660499
42,11.940753918795219
43,10.64323729972465
44,6.66271381417557
45,12.40379571416268
46,5.2007620215163115
47,-84.41919593198793
48,66.52430732619412
49,39.142306661732995
50,14.810637322329207
51,16.723508598174135
52,12.565776418341443
53,27.392592817738333
54,-1.2800385562405756
55,25.367420479839907
56,-5.455309567322892
57,23.876181116009345
58,-4.611198625232708
59,-82.01246921952625
60,-21.868974184326404
61,145.56315459892195
62,-22.647179415382464
63,102.16546757939508
64,-21.20689875684248
65,73.13971277498001
66,-23.72715703025573
67,58.69808375431739
68,-16.832478778115124
69,47.251680375864055
70,-5.702395841074137
71,-82.49343986049749
72,-16.736902595536826
73,158.19175245873353
74,-9.480573289553993
75,66.30015897312222
76,-7.20743917345148
77,60.565042387747425
78,-14.215594744808572
79,52.068142295784995
80,-13.508282791983836
81,41.173322347630595
82,-12.51384247019504
83,-83.81090581497119
84,16.09991899411827
85,102.56262466156518
86,9.820174995226381
87,47.63024935054309
88,1.2209259361894733
89,35.683600300237956
90,0.7307554558646236
91,24.382671227045787
92,-1.7948232755323474
93,22.79407845918589
94,5.476707965665408
95,-81.50100075861407
96,-12.048708150345064
97,136.04098440387796
98,-10.322896147389878
99,56.46527558645029
100,-7.131654536803708
101,39.8798228969007
102,-1.0413746326023061
103,29.475082287320976
104,-2.445835985116292
105,20.30108553829531
106,5.254927747750637
107,-83.51853262732848
108,-18.43212259190348
109,160.1651990960804
110,0.07079511078073393
111,61.69428897166662
112,8.686352973644267
113,23.212922664362807
114,18.529050677369536
115,22.990120360073067
116,7.731780144607227
117,22.03543752825441
118,-2.3371284515851967
119,-86.7452715870939
120,-14.117414668983017
121,182.45736123233704
122,-21.72207305207685
123,95.07480481930281
124,7.446199031110831
125,25.450903588776434
126,9.62683364999437
127,19.664220433067552
128,6.668305983040808
129,27.81606978972901
130,-0.0815009792027877
131,-74.69263202348598
132,-26.44331700489853
133,200.49306146345032
134,-35.33126325509655
135,115.59993786198142
136,-33.078117232981974
137,78.61590897721167
138,-22.024508275774725
139,52.583869060958556
140,-10.70756715706042
141,34.120567936810325
142,-11.548325949323816
143,-82.54707022767337
144,-25.59340096604985
145,179.01936347910194
146,-8.797788853067527
147,59.57183352265169
148,-6.981339851437074
149,58.837549898012554
150,-4.251846735093888
151,36.565184137977035
152,0.953878560802823
153,12.384246319885536
154,13.667394072941534
155,-89.1203354717056
156,39.298147184274384
157,81.17128112057105
158,31.559464946725026
159,17.6967538866222
160,6.607668136728748
161,13.761820695384655
162,7.727943745943904
163,25.266786356426575
164,-1.4679917241160632
165,22.58500686791453
166,8.477802128758984
167,-85.08463200826678
168,-25.05137912385073
169,232.74426324144898
170,-25.775128654983444
171,89.00277125664874
172,-8.980386852427973
173,41.10950424978494
174,-10.002948805132124
175,31.67715610857308
176,-7.235291578538439
177,27.568787300502866
178,-7.786348839344949
179,-87.50755627944855
180,33.1059762262197
181,74.57957735244976
182,10.312661308163115
183,50.011698251946925
184,-2.1552166744487478
185,28.558925505773054
186,9.706475347594983
187,13.655151305832373
188,-12.2
